"transaction";"type_bien";"prix";"surface";"nb_pieces";"nb_chambres";"ville";"code_postal";"description";"source"
"ventes";"appartements";"680000";"57.0";"3";"2";"Paris";"75010";"Très bel appartement situé en haut de la rue du Faubourg Poissonnière, 56,09 m² carrez + 3m² de balcon exposé plein Ouest. L’appartement se compose d’une entrée avec de grands rangements, deux...";"pap"
"ventes";"appartements";"360000";"30.0";"1";"";"Paris";"75014";"Idéal pour un étudiant ou un cadre comme pied à terre parisien.  Quartier Pernety, un secteur très agréable du 14ᵉ arrondissement, vivant et bien pourvu en commodités quotidiennes et loisirs. A...";"pap"
"ventes";"appartements";"230000";"26.0";"2";"1";"Paris";"75010";"Idéalement situé au croisement des 10e, 11e, 19e et 20e arrondissements, dans un quartier vivant et recherché, cet appartement se trouve au 2e étage d’un immeuble sur cour. Découvrez ce 2 pièces de...";"pap"
"ventes";"appartements";"349000";"41.0";"2";"1";"Paris";"75018";"Rue Bonnet, appartement 2P, 40,50 m2 Carrez, entièrement refait, libre, traversant, séjour/cuisine de 24 m2 avec trois fenêtres plein sud en façade sur voie privée arborée très calme, sans vis-à-vis...";"pap"
"ventes";"appartements";"340000";"35.3";"1";"";"Paris";"75013";"* SOUS OFFRE * -  Appartement **lumineux avec balcon, calme, sans vis-à-vis** au 7eme et dernier étage avec ascenseur et 2 caves, à proximité des transports lignes 6, 14, bus 27, 61, 64 etc... ...";"pap"
"ventes";"appartements";"570000";"36.0";"2";"1";"Paris";"75003";"Deux pièces très lumineux exposé plein sud, rénové avec architecte au dernier étage – Marais Enfants-Rouges  Au cœur du Marais, secteur Enfants-Rouges / Arts et Métiers, à deux pas de la rue de...";"pap"
"ventes";"appartements";"1020000";"61.0";"3";"2";"Paris";"75006";"Paris 6ᵉ – Jardin du Luxembourg. entièrement rénové par architecte.  À deux pas de l'École Alsacienne, des commerces et des transports.  Immeuble ancien de standing avec ascenseur, en très bon état,...";"pap"
"ventes";"appartements";"399000";"39.0";"3";"2";"Paris";"75017";"À deux pas du métro Brochant, découvrez ce beau 3 pièces traversant, baigné de lumière et rénové avec soin.  Situé au 1ᵉʳ étage d'un bel immeuble ancien, il séduit par son plan optimisé sans aucune...";"pap"
"ventes";"appartements";"490000";"52.0";"3";"2";"Paris";"75018";"Nous quittons la région et mettons donc en vente notre appartement T3 de 52,25m², qui a été notre résidence principale durant quatre ans.  L'appartement se situe passage Penel, dans le quartier...";"pap"
"ventes";"appartements";"690000";"61.0";"3";"2";"Paris";"75019";"**Loft 61 m² + jardin 56 m² : comme une maison et sans vis-à-vis**  À 200 m du Canal Saint-Martin, loft traversant de 61 m² avec 56 m² d’extérieurs (jardin arboré + courette), au sein d’un immeuble...";"pap"
"ventes";"appartements";"530000";"43.0";"2";"1";"Paris";"75005";"**Quartier Latin - Lumineux 2 pièces 43 m²**  Adresse recherchée au cœur du Quartier Latin, alliant qualité de vie (commerces, restaurants, espaces verts au pied de l'immeuble, rue Mouffetard et...";"pap"
"ventes";"appartements";"530000";"61.0";"2";"1";"Paris";"75014";"Paris 14e. **Montparnasse / Gaîté. 2 pièces à fort potentiel. 61 m² à rénover.  Appartement de 61 m² idéalement situé dans le 14ᵉ arrondissement de Paris, à deux pas du métro Gaîté et à proximité...";"pap"
"ventes";"appartements";"300000";"20.0";"1";"1";"Paris";"75007";"A quelques pas du Bon Marché,  du jardin Catherine Labouré et des commerces de la rue de Sèvres, dans une rue calme au 2ème étage (avec ascenseur) d'un immeuble sécurisé avec gardien.  Un studio de...";"pap"
"ventes";"appartements";"369000";"28.5";"2";"1";"Paris";"75015";"Je vends mon appartement de 29m² (meublé)+ cave saine en sous-sol entièrement rénové en 2021 situé dans le 15ᵉ arrondissement de Paris près du métro Dupleix (ligne 6) et des stations La Motte Picquet...";"pap"
"ventes";"appartements";"420000";"50.0";"2";"1";"Paris";"75018";"Paris 18e . **Appartement T2 de 50 m² lumineux au 5ème étage, près du pittoresque marché parisien**, le Marché de l'Olive.  L'appartement est doté d'un balcon, d'une grande cuisine, d'un salon, d'une...";"pap"
"ventes";"appartements";"292000";"26.73";"1";"";"Paris";"75011";"**Studio 26,73 m² – 4ᵉ étage – Parfait état – Clé en main**  Idéalement situé, au calme sur cour ouverte, dans un quartier vivant, à proximité immédiate des commerces, et à quelques pas des Métros...";"pap"
